///////////////////////////////////         30/01/2025
13:11:34.928 > Serial iniciado                 SiPM 2
13:11:36.078 > SPI iniciado
13:11:36.079 > CSs en HIGH
13:11:36.079 > DEBUG (start_tmp100) -> Status: 0
13:11:36.080 > TMP iniciado
13:11:36.080 > 25.0000
13:11:36.190 > MODE0: 100100
13:11:36.240 > MODE0: 11111100
13:11:36.241 > PGA: 0
13:11:36.242 > PGA BYPASS MODE: 10000000
13:11:36.742 > Setup finalizado
13:11:39.745 > Datos obtenidos:
13:11:39.746 > Temperatura: 25.0000
13:11:39.749 > Obtención de curva
13:11:39.749 > Vbd teorico: 24.54
13:11:39.751 > Limites (dec, hex): 26.84, 29.84, 61BF, 41BF, paso: 20
13:11:39.755 > Comandos calculados
13:11:51.766 > First VCurrent: 1.2166624
13:11:51.769 > Tiempo promedio de muestreo [ms]: 30.000
13:11:51.773 > i, Voltage, VCorriente, (Voltage*12)-3.8, (VCorriente-firstCurrent)/2000
13:11:53.433 > 227,2.4545081,1.4907460,25.50,25.6540977,0.0001370418
13:11:53.441 > 228,2.4550602,1.4948443,25.50,25.6607239,0.0001390910
13:11:53.448 > 229,2.4556983,1.4994216,25.50,25.6683800,0.0001413796
13:11:53.456 > 230,2.4562147,1.5044188,25.50,25.6745750,0.0001438782
13:11:53.463 > 231,2.4570916,1.5092380,25.50,25.6850998,0.0001462878
13:11:53.470 > 232,2.4575837,1.5132375,25.50,25.6910049,0.0001482875
13:11:53.478 > 233,2.4583216,1.5181125,25.56,25.6998589,0.0001507251
13:11:53.484 > 234,2.4587381,1.5222752,25.56,25.7048561,0.0001528064
13:11:53.492 > 235,2.4594548,1.5269270,25.56,25.7134583,0.0001551323
13:11:53.499 > 236,2.4598479,1.5315238,25.56,25.7181751,0.0001574307
13:11:53.507 > 237,2.4606864,1.5368583,25.56,25.7282364,0.0001600980
13:11:53.514 > 238,2.4612107,1.5413653,25.56,25.7345287,0.0001623514
13:11:53.521 > 239,2.4619172,1.5460217,25.56,25.7430069,0.0001646796
13:11:53.529 > 240,2.4623473,1.5507170,25.56,25.7481682,0.0001670273
13:11:53.536 > 241,2.4631414,1.5549970,25.56,25.7576973,0.0001691673
13:11:53.543 > 242,2.4637508,1.5597678,25.56,25.7650101,0.0001715527
13:11:53.551 > 243,2.4644520,1.5650547,25.56,25.7734253,0.0001741961
13:11:53.558 > 244,2.4651012,1.5699250,25.56,25.7812149,0.0001766313
13:11:53.565 > 245,2.4655933,1.5741991,25.56,25.7871201,0.0001787683
13:11:53.573 > 246,2.4662123,1.5794196,25.56,25.7945473,0.0001813786
13:11:53.580 > 247,2.4670806,1.5841541,25.56,25.8049671,0.0001837459
13:11:53.588 > 248,2.4673696,1.5873281,25.56,25.8084347,0.0001853328
13:11:53.595 > 249,2.4681363,1.5932027,25.56,25.8176357,0.0001882701
13:11:53.602 > 250,2.4686153,1.5993884,25.56,25.8233826,0.0001913630
13:11:53.610 > 251,2.4693735,1.6036803,25.56,25.8324806,0.0001935089
13:11:53.616 > 252,2.4700215,1.6084875,25.56,25.8402588,0.0001959125
13:11:53.624 > 253,2.4705637,1.6133971,25.56,25.8467628,0.0001983674
13:11:53.632 > 254,2.4711833,1.6189108,25.56,25.8541996,0.0002011242
13:11:53.638 > 255,2.4720135,1.6225928,25.56,25.8641617,0.0002029652
13:11:53.646 > 256,2.4723866,1.6277282,25.56,25.8686401,0.0002055329
13:11:53.654 > 257,2.4729965,1.6338060,25.56,25.8759567,0.0002085718
13:11:53.661 > 258,2.4738460,1.6383809,25.56,25.8861515,0.0002108592
13:11:53.668 > 259,2.4743962,1.6433764,25.56,25.8927547,0.0002133570
13:11:53.676 > 260,2.4748561,1.6480174,25.56,25.8982727,0.0002156775
13:11:53.683 > 261,2.4755597,1.6528229,25.56,25.9067165,0.0002180802
13:11:53.690 > 262,2.4760935,1.6576931,25.56,25.9131233,0.0002205154
13:11:53.697 > 263,2.4768970,1.6635840,25.56,25.9227631,0.0002234608
13:11:53.705 > 264,2.4773254,1.6684179,25.56,25.9279053,0.0002258778
13:11:53.712 > 265,2.4780116,1.6741860,25.56,25.9361393,0.0002287618
13:11:53.719 > 266,2.4785876,1.6791326,25.56,25.9430515,0.0002312351
13:11:53.727 > 267,2.4792845,1.6841215,25.56,25.9514153,0.0002337295
13:11:53.733 > 268,2.4798172,1.6881692,25.56,25.9578049,0.0002357534
13:11:53.740 > 269,2.4805176,1.6936585,25.56,25.9662125,0.0002384980
13:11:53.748 > 270,2.4812348,1.6992729,25.56,25.9748184,0.0002413052
13:11:53.755 > 271,2.4818490,1.7050362,25.56,25.9821884,0.0002441869
13:11:53.762 > 272,2.4824102,1.7104158,25.56,25.9889214,0.0002468767
13:11:53.770 > 273,2.4831119,1.7153934,25.56,25.9973423,0.0002493655
13:11:53.777 > 274,2.4835758,1.7211019,25.56,26.0029099,0.0002522197
13:11:53.784 > 275,2.4843247,1.7253575,25.56,26.0118973,0.0002543476
13:11:53.791 > 276,2.4847429,1.7304167,25.62,26.0169136,0.0002568771
13:11:53.798 > 277,2.4855602,1.7368186,25.62,26.0267212,0.0002600781
13:11:53.806 > 278,2.4861243,1.7425455,25.62,26.0334923,0.0002629415
13:11:53.813 > 279,2.4868565,1.7471120,25.62,26.0422775,0.0002652248
13:11:53.821 > 280,2.4874091,1.7524422,25.62,26.0489094,0.0002678899
13:11:53.829 > 281,2.4879906,1.7584963,25.62,26.0558884,0.0002709169
13:11:53.836 > 282,2.4885893,1.7626148,25.62,26.0630714,0.0002729762
13:11:53.843 > 283,2.4892867,1.7687510,25.62,26.0714409,0.0002760443
13:11:53.851 > 284,2.4898307,1.7753167,25.62,26.0779678,0.0002793272
13:11:53.858 > 285,2.4904568,1.7798249,25.62,26.0854828,0.0002815812
13:11:53.865 > 286,2.4910977,1.7860445,25.62,26.0931732,0.0002846911
13:11:53.873 > 287,2.4918947,1.7914927,25.62,26.1027367,0.0002874151
13:11:53.880 > 288,2.4922528,1.7965995,25.62,26.1070339,0.0002899686
13:11:53.887 > 289,2.4930086,1.8009874,25.62,26.1161034,0.0002921625
13:11:53.895 > 290,2.4935877,1.8077163,25.62,26.1230537,0.0002955269
13:11:53.901 > 291,2.4943900,1.8137155,25.62,26.1326801,0.0002985265
13:11:53.909 > 292,2.4948487,1.8179245,25.62,26.1381847,0.0003006310
13:11:53.916 > 293,2.4954314,1.8243282,25.62,26.1451771,0.0003038329
13:11:53.923 > 294,2.4959149,1.8299462,25.62,26.1509792,0.0003066419
